,id,name,listing_url,bathrooms_text,room_type,bedrooms,beds
120,5551665,Condo in Singapore · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/5551665,1 shared bath,Private room,,1.0
121,5573458,Bungalow in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/5573458,1 private bath,Private room,1.0,1.0
122,5582645,Rental unit in Singapore · ★4.54 · 1 bedroom · 1 bed · 3 baths,https://www.airbnb.com/rooms/5582645,3 baths,Private room,,1.0
123,5634851,Rental unit in Singapore · ★5.0 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/5634851,1 bath,Entire home/apt,,1.0
124,5704432,Rental unit in Singapore · 1 bedroom · 1 bed · 2 shared baths,https://www.airbnb.com/rooms/5704432,2 shared baths,Shared room,,1.0
125,5774164,Rental unit in Singapore · ★3.88 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/5774164,1 bath,Entire home/apt,1.0,1.0
126,5798211,Home in Singapore · ★4.86 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/5798211,1 private bath,Private room,,1.0
127,5819462,Rental unit in Singapore · 1 bedroom · 1 bed · 0 shared baths,https://www.airbnb.com/rooms/5819462,0 shared baths,Shared room,,1.0
128,5827713,Home in Singapore · ★4.82 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/5827713,1 private bath,Private room,,1.0
129,5827998,Home in Singapore · ★4.84 · 1 bedroom · 1 bed · Shared half-bath,https://www.airbnb.com/rooms/5827998,Shared half-bath,Private room,,1.0
130,5882204,Home in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/5882204,1 bath,Private room,1.0,1.0
131,5889741,Condo in Singapore · ★4.80 · 1 bedroom · 3 beds · 1 bath,https://www.airbnb.com/rooms/5889741,1 bath,Entire home/apt,1.0,3.0
132,5908083,Home in Singapore · ★4.61 · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/5908083,1 bath,Entire home/apt,1.0,2.0
133,5919270,Home in Singapore · ★4.83 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/5919270,1 private bath,Private room,,1.0
134,6020248,Rental unit in Singapore · ★4.29 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/6020248,1 private bath,Private room,,1.0
135,6079533,Condo in Singapore · 1 bedroom · 1 bed · 1.5 shared baths,https://www.airbnb.com/rooms/6079533,1.5 shared baths,Private room,,1.0
136,6261313,Condo in Singapore · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/6261313,1 shared bath,Private room,,1.0
137,6287204,Condo in Singapore · ★4.80 · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/6287204,1 bath,Entire home/apt,1.0,2.0
138,6300577,Home in Singapore · ★4.76 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/6300577,1 bath,Private room,,1.0
139,6317686,Rental unit in Singapore · 1 bedroom · 1 bed · Private half-bath,https://www.airbnb.com/rooms/6317686,Private half-bath,Private room,,1.0
140,6340605,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/6340605,1 bath,Entire home/apt,1.0,1.0
141,6453321,Townhouse in Singapore · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/6453321,1 shared bath,Private room,,1.0
